322911,USDC,WETH,3000,0
323823,WETH,USDT,3000,0
324196,WMATIC,MaticX,500,0.00000020400414508542
324394,USDC,WETH,3000,0
325122,WBTC,WETH,500,0
325454,USDC,WETH,500,0
325464,USDC,WETH,500,0
325622,USDC,WETH,3000,0
325942,USDC,WETH,500,0
326056,USDC,stMATIC,3000,0
327400,WMATIC,USDC,500,0
327546,WBTC,USDC,3000,0
327700,USDC,WETH,3000,0
327746,USDC,miMATIC,100,0
328967,WMATIC,USDC,500,0
329415,USDC,WETH,3000,0
329702,USDC,WETH,500,0
330625,WMATIC,USDC,500,0
330666,WMATIC,USDC,500,0
330789,WETH,USDT,3000,0
330801,WMATIC,USDC,500,0
331026,WMATIC,USDC,500,0.00001964723025522948
331870,WBTC,USDC,3000,0
332011,WMATIC,USDC,500,0
332066,WMATIC,USDC,500,0
332425,WMATIC,USDC,500,0
332604,WMATIC,USDC,500,0
332696,USDC,WETH,500,0
332708,WMATIC,USDC,3000,0
332719,WMATIC,USDC,500,0
334237,WMATIC,USDC,500,0
334773,USDC,WETH,500,0
335006,WMATIC,USDC,500,0
335155,WMATIC,USDC,500,0.0012327147695078445799504411876336937584
335512,USDC,WETH,500,0
335528,USDC,WETH,3000,0
335667,WMATIC,USDC,500,0
335972,WMATIC,USDC,500,0
335997,WMATIC,USDC,500,0
336329,WMATIC,WETH,3000,0
336615,WBTC,USDC,3000,0
336807,USDC,LDO,3000,0
336995,WMATIC,USDC,3000,0
337139,USDC,WETH,500,0
337330,USDC,WETH,500,0
337557,USDC,WETH,500,0
337877,WMATIC,USDC,500,0
338047,WMATIC,USDC,3000,0
338088,WMATIC,USDC,500,0
338164,WBTC,USDC,3000,0
338310,WBTC,WETH,500,0
339126,WMATIC,USDC,500,0
339625,WMATIC,USDC,500,0
339855,USDC,WETH,500,0
339968,WMATIC,USDC,500,0
340716,WMATIC,USDC,500,0
340879,WMATIC,USDC,500,0
340915,WMATIC,USDC,500,0
341017,WMATIC,USDC,500,0
341061,WBTC,USDC,3000,0
341661,LINK,WETH,3000,0
341683,WMATIC,USDC,500,0
343532,WBTC,USDC,3000,0
343960,WMATIC,USDC,500,0
344192,WMATIC,USDC,500,0.0000090129587658649
345490,USDC,WETH,3000,0
346127,WMATIC,USDC,500,0.00015905772817975576
346434,WMATIC,USDC,3000,0
347679,USDC,WETH,500,0
347712,WMATIC,USDC,3000,0
347922,USDC,WETH,500,0
348046,USDC,WETH,500,0
348562,LINK,WETH,3000,0
348891,WMATIC,USDC,500,0
348971,WMATIC,LINK,3000,0
349243,WMATIC,USDC,500,0
349701,WMATIC,WETH,3000,0
349775,USDC,WETH,500,0
